# V4 migration ledger for every exported top-level declaration in ports.
# Consumers are exact non-test package directories from:
#   GOTOOLCHAIN=local go run ./internal/tools/portsledger
# "app-owned (no toolkit import)" is an intentional replacement direction.
# Implementations are concrete v3 evidence for interfaces; value symbols are n/a.
symbol	kind	consumers	implementations	replacement_path	v3_deprecation_status	v4_disposition	migration_evidence
PolicyEngine	type	authorization;contrib/adapters/policytest	contrib/adapters/cedar;contrib/adapters/opa;contrib/adapters/policytest	github.com/aatuh/api-toolkit/v4/authorization.PolicyEngine	deprecated	remove	docs/deprecations.md;authorization/interfaces_test.go;policy adapter tests
PolicyRequest	type	authorization;contrib/adapters/cedar;contrib/adapters/opa;contrib/adapters/policytest	n/a value type	github.com/aatuh/api-toolkit/v4/authorization.PolicyRequest	deprecated	remove	docs/deprecations.md;authorization/interfaces_test.go
RateLimiter	type	contrib/adapters/ratelimitredis;contrib/adapters/ratelimittest;examples/reference-saas-api/cmd/api;examples/reference-saas-api/internal/adapters/redis;examples/reference-saas-api/internal/httpapi;middleware/ratelimit	contrib/adapters/ratelimitredis;contrib/adapters/ratelimittest	github.com/aatuh/api-toolkit/v4/middleware/ratelimit.Limiter	deprecated	remove	docs/deprecations.md;middleware/ratelimit example;adapter contract tests
ReservationReleasableIdempotencyStore	type	contrib/adapters/idempotency;contrib/adapters/idempotencyredis;contrib/adapters/idempotencytest;middleware/idempotency	contrib/adapters/idempotencyredis;test stores	github.com/aatuh/api-toolkit/v4/middleware/idempotency.ReleasableStore	deprecated	remove	docs/deprecations.md;middleware/idempotency/interfaces_test.go;adapter contract tests
SnapshotDatabasePoolStats	func	endpoints/health	n/a function	github.com/aatuh/api-toolkit/contrib/v4/adapters/pgxpool.Snapshot	active	move	endpoint migration example;pgxpool adapter tests
SystemClock	type	contrib/middleware/metrics;contrib/middleware/oteltrace;contrib/middleware/requestlog;middleware/idempotency;middleware/ratelimit	concrete system clock	github.com/aatuh/api-toolkit/v4/clock.System	active	move	clock migration example;middleware tests
TxManager	type	contrib/adapters/txpostgres;contrib/adapters/webhookdeliverypostgres;contrib/integrations/txpostgres;examples/reference-saas-api/internal/adapters/postgres	contrib/adapters/txpostgres;app transaction managers	app-owned (no toolkit import)	active	remove	consumer inventory;transaction migration examples;API diff
URLParamExtractor	type	contrib/adapters/chi;middleware/auth/tenant	contrib/adapters/chi.Adapter;app routers	app-owned (no toolkit import)	active	remove	consumer inventory;router migration example
Validator	type	contrib/adapters/validation	contrib/adapters/validation.Adapter	github.com/aatuh/api-toolkit/contrib/v4/adapters/validation	active	move	validation adapter migration example;adapter tests
VersionInfo	type	endpoints/version;examples/reference-saas-api/cmd/api	n/a value type	github.com/aatuh/api-toolkit/v4/endpoints/version.Info	active	move	endpoint and generated-service migration examples;endpoint tests
